configuracion,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier,seleccionado
sin_ponderacion,99535,0.4799999999999999,72788,4433,11227,11087,0.8426684080976541,0.7197281460006943,0.7143685567010309,0.49686295599175406,0.5860865887825765,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.48499999999999993,72895,4326,11320,10994,0.8428090621389461,0.7183370692017712,0.7176240208877285,0.4926951689522273,0.5842589148110751,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.48999999999999994,72987,4234,11420,10894,0.842728688401065,0.7166920163630656,0.7201216287678477,0.48821367751187594,0.5819133593290957,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.49499999999999994,73101,4120,11541,10773,0.8426583613804189,0.7147188552208659,0.7233599677700934,0.4827910728690508,0.5790845808584406,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.49999999999999994,73192,4029,11620,10694,0.8427789219872407,0.7135378840607726,0.7263465326360117,0.47925069463117326,0.5774765774765774,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5049999999999999,73301,3920,11711,10603,0.8429597628974732,0.7122045720215022,0.7300833161192591,0.4751725374204535,0.5756712001520211,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5099999999999999,73386,3835,11815,10499,0.8427688752700055,0.7104245648956169,0.7324543044509557,0.47051178632248813,0.5729644182492906,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5149999999999999,73464,3757,11896,10418,0.8427387351183001,0.7091146048269992,0.7349559082892416,0.4668817782558035,0.5710214037107073,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5199999999999999,73558,3663,12004,10310,0.8425980810770081,0.7073032421759289,0.73785157088671,0.4620417675002241,0.5682475817785984,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5249999999999999,73639,3582,12112,10202,0.8423268197116592,0.7054077055307377,0.7401334881021474,0.45720175674464464,0.5652390714166989,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5299999999999999,73732,3489,12202,10112,0.8423569598633647,0.7039932021866744,0.7434747445040806,0.4531684144483284,0.5631073367673674,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5349999999999999,73824,3397,12291,10023,0.8423871000150701,0.7025946313771881,0.7468703427719822,0.4491798870664157,0.560978339956344,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5399999999999999,73899,3322,12388,9926,0.8421660722358969,0.7009067272254683,0.7492451690821256,0.4448328403692749,0.5582363196670603,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5449999999999999,73981,3240,12484,9830,0.8420254181946049,0.699286554989323,0.7521040550879877,0.4405306085865376,0.5556183585801492,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5499999999999999,74073,3148,12577,9737,0.8420153714773698,0.6977983543510297,0.755684904928211,0.43636282154701084,0.5532543538168698,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5549999999999999,74151,3070,12682,9632,0.8417441101120209,0.6959506153095698,0.7583057786175406,0.4316572555346419,0.5501485035412383,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.5599999999999999,74246,2975,12765,9549,0.8418646707188426,0.6947059140111681,0.7624560843181092,0.42793761763915034,0.5481945002583386,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.565,74316,2905,12862,9452,0.8415934093534937,0.692985635246325,0.7649105770008902,0.4235905709420095,0.5452395373655217,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.57,74385,2836,12960,9354,0.8413020545536746,0.6912364741016553,0.7673502871205906,0.41919870933046516,0.5421980060282866,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.575,74455,2766,13045,9269,0.8411513537951474,0.6897850848232332,0.7701703365184878,0.41538944160616653,0.5396954787621182,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.58,74535,2686,13155,9159,0.8408499522780931,0.687838258341014,0.7732376530181512,0.41045980102178004,0.5362569161860711,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.585,74604,2617,13253,9061,0.840558597478274,0.6860890971963444,0.7759034081178284,0.4060679394102357,0.5331254412803013,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.59,74675,2546,13330,8984,0.8404983171748631,0.684823442498161,0.77918473547268,0.40261719100116516,0.5309065122325967,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.595,74741,2480,13418,8896,0.8402772893956899,0.6832789311576348,0.7819971870604782,0.398673478533656,0.528109231225883,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6,74799,2422,13500,8814,0.8400361681820465,0.681817065179322,0.7844428622285511,0.3949986555525679,0.525424739195231,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.605,74859,2362,13588,8726,0.8397548600994625,0.6802337043030479,0.786976911976912,0.3910549430850587,0.5224836836117598,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.61,74917,2304,13692,8622,0.8392927111066459,0.6782788742662963,0.7891268533772653,0.3863941919870933,0.5187725631768954,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.615,74978,2243,13805,8509,0.8387702818104185,0.6761418018826029,0.7913876488095238,0.3813301066594963,0.5146676344281135,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.62,75038,2183,13904,8410,0.8383784598382479,0.6743119589771095,0.7939205135466818,0.3768934301335484,0.5111374479594007,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.625,75096,2125,14003,8311,0.837966544431607,0.6724691662263667,0.7963779225756995,0.3724567536076006,0.5075419847328244,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.63,75161,2060,14107,8207,0.8375747224594364,0.6705596606479879,0.7993571637284503,0.36779600250963523,0.5037905527761579,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.635,75227,1994,14196,8118,0.8373436479630281,0.66899274185026,0.8028085443037974,0.3638074751277225,0.500709307345957,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6399999999999999,75286,1935,14296,8018,0.8369317325563872,0.6671340165649402,0.8055862554003818,0.3593259836873712,0.4969783370006508,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6449999999999999,75345,1876,14383,7931,0.8366504244738032,0.6655665882232431,0.8087080656673804,0.3554270861342655,0.49382024220914666,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6499999999999999,75396,1825,14472,7842,0.8362686492188678,0.6639025455861451,0.8112134064342609,0.3514385587523528,0.49041618460961195,0.8533493454449823,0.680929669939794,0.1148455285354345,False
